"CORE","SECTION_NO","DEPTH_CM","MASS_MG_CM2","YEAR","DN15","DC_13","PERC_N","PERC_C","C_N","FUCO","SED_B","SUDAN","ALLO","DIATOX","LUT_ZEA","CANTH","CHL_A","CHL_AP","ECHINE","PHEO_B","PHEO_A","B_CAR","CHLA_PHEOA","ANABAENA","ANABANA_WET","APHANIZOMEN","APHAN_WET","COSMARIUM","NAVICULA","PEDIASTRUM","SCENEDESMUS","STAURASTRUM","TEILINGIA","TETRAEDRON","TETRASTRUM","TRACHELOMO","ALL_CYANO","ALL_CHLOROPH","AUL_ISLANDIC","AUL_DISTANS","AUL_SUBARCTI","AUL_AMBIGUA","AUL_GRANULAT","OTHER_AUL","CYCLO_DUBIUS","CYCLO_THOLIF","STEPH_MEDIUS","STEPH_HANTZS","STEPH_MINUTU","STEPH_MINUT1","STEPH_NIAGAR","STEPH_PARVUS","RARE_PLANKTO","EPIPHYTES","SMALL_FRAGIL","RARE_BENTHIC","DIATOM_CONC","TP"
1,1,0.375,,2006,7.43,-28.07,0.39,2.86,8.53,27.60333154,2.773304099,1847.02771,8.782307965,6.352556492,8.089698405,0.551682492,23.05356184,3.374670352,0,6.45134301,18.75105395,0.602288339,1.22945419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1.125,,2005.1,,,,,,,,,,,,,,,,,,,,150301.0976,65464.4645,3067.3693,4773.4505,1533.6847,,,,,,922.1125,,,153368.4669,2455.7972,77.94,0,0.25,0.74,0,0.49,0.49,1.47,5.64,0.99,7.6,0,0.74,0.98,2.21,0,0,0.49,121.21,16.42569802
1,3,1.875,114.2,2004.1,7.46,-27.3,0.27,2.2,9.44,3.850345575,0.610417398,2327.27905,1.768896835,1.685170153,0.972327591,0.410121967,3.048109128,0.669643609,0,2.841736098,4.736499123,0.362333943,0.643536302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2.625,119.3,2003.2,,,,,,,,,,,,,,,,,,,,,99383.3553,,2028.2317,,,,,,,,,,,,79.11,0.32,1.27,1.27,0.32,0.95,0,0.95,6.33,1.58,3.48,1.27,0.32,0.63,0.95,0,0.95,0.32,70.7,15.10675196
1,5,3.375,124.4,2002.2,7.29,-26.39,0.24,1.88,9.07,2.431608321,0.584777781,1873.96765,1.509860164,1.844057635,1.337715669,0.544704295,1.870916044,0.468912837,0.317989779,3.188482604,4.588125591,0.419426312,0.407773503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,4.125,139,2001.3,,,,,,,,,,,,,,,,,,,,205246.6745,115300.3378,5920.5772,3325.9713,,,,3688.3577,1533.6847,,1973.5257,,,211167.2517,7195.5681,77.81,0,0,1.66,0,1.99,0.33,0.33,6.29,0.66,3.97,1.32,0.33,1.66,2.98,0.33,0,0.33,29.66,14.41077115
1,7,4.875,153.5,2000.3,7.26,-26.52,0.25,2.02,9.32,1.635947671,0.499895139,1900.56934,1.195570319,1.354216655,1.506053857,0.557649575,1.287836993,0.345688428,0.02604734,2.442194427,3.451327968,0.295235225,0.373142456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,5.625,153.6,1999.5,,,,,,,,,,,,,,,,,,,,198986.2426,132397.8914,7959.4497,5295.9157,,,,,,,,,,206945.6923,,55.24,1.27,0.95,2.22,1.9,0,1.59,0.95,18.73,0.63,3.49,4.13,0,6.67,1.27,0,0.63,0.32,37.51,18.84009574
1,9,6.375,153.6,1998.6,6.89,-27.47,0.26,2.08,9.44,0.6894104,0.823470454,1887.98938,1.074887347,1.318439792,1.399104979,0.578103155,1.077614861,0.314158093,0.037595999,3.157780235,3.990795344,0.332909309,0.270025087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,7.125,153.5,1997.8,,,,,,,,,,,,,,,,,,,,171862.7192,118228.2668,19926.1124,13707.6251,,2490.764,99630.5619,,,,,,,191788.8316,99630.5619,64.38,0,0.33,2.61,1.31,1.31,0,0.33,12.09,0.98,1.96,3.27,0,4.9,5.23,0,0,1.31,35.66,15.16990615
